,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_C,Pos_F,Pos_G,Pos
0,18,18,32.3,7.4,14.4,0.515,0.4,1.9,0.229,7.0,12.5,0.56,0.531,2.2,3.7,0.597,2.6,7.0,9.6,2.3,0.7,1.4,1.9,2.8,17.6,1.0,0.0,0.0,C
1,18,17,26.7,6.2,12.4,0.502,1.9,3.9,0.486,4.3,8.5,0.51,0.578,2.8,3.6,0.785,1.1,4.2,5.2,1.7,1.4,1.1,1.8,3.6,17.2,0.0,1.0,0.0,F
2,18,18,35.9,5.5,13.3,0.414,2.8,7.7,0.362,2.7,5.6,0.485,0.519,2.8,3.1,0.911,0.4,2.7,3.1,4.2,1.1,0.1,2.3,2.2,16.6,0.0,0.0,1.0,G
3,13,13,34.2,5.7,13.7,0.416,1.5,4.9,0.297,4.2,8.8,0.482,0.469,3.5,4.7,0.738,0.8,4.3,5.1,3.6,1.4,0.1,2.6,2.1,16.3,0.0,0.0,1.0,G
4,18,18,33.6,4.9,13.8,0.355,2.2,7.2,0.31,2.7,6.6,0.403,0.435,4.1,4.7,0.881,0.2,3.2,3.4,3.8,1.0,0.1,2.6,1.9,16.1,0.0,0.0,1.0,G
5,18,18,34.8,5.4,11.4,0.478,1.0,2.4,0.419,4.4,9.0,0.494,0.522,4.1,5.0,0.811,2.2,3.6,5.7,2.7,0.7,0.2,1.6,1.6,15.9,0.0,1.0,0.0,F
6,18,18,34.7,5.6,13.9,0.404,1.3,4.3,0.299,4.3,9.6,0.451,0.45,3.2,3.9,0.803,0.9,2.9,3.8,6.5,2.2,0.5,1.9,2.2,15.7,0.0,0.0,1.0,G
7,18,18,37.1,4.1,11.1,0.372,2.8,8.0,0.347,1.3,3.1,0.436,0.497,4.4,4.9,0.888,0.5,2.4,2.9,3.9,1.2,0.0,3.1,2.4,15.4,0.0,0.0,1.0,G
8,18,18,33.6,4.6,11.9,0.388,2.1,5.6,0.376,2.5,6.3,0.398,0.477,3.8,4.5,0.84,0.6,2.8,3.4,3.8,2.6,0.1,2.8,3.4,15.1,0.0,0.0,1.0,G
9,12,11,25.8,6.0,9.3,0.643,0.0,0.0,0.28782012195121953,6.0,9.3,0.643,0.643,3.1,7.2,0.43,3.1,4.7,7.8,1.3,0.8,1.7,1.6,2.8,15.1,1.0,0.0,0.0,C
10,18,18,32.9,5.1,12.7,0.397,3.0,7.8,0.383,2.1,4.9,0.42,0.515,1.7,1.9,0.882,0.7,1.5,2.2,1.8,1.3,0.2,0.9,2.0,14.8,0.0,0.0,1.0,G
11,18,18,34.2,4.8,11.1,0.437,1.6,4.9,0.318,3.3,6.2,0.532,0.508,3.6,4.2,0.853,0.4,4.1,4.6,3.7,1.1,0.3,3.5,1.9,14.8,0.0,0.0,1.0,G
12,18,18,34.5,4.6,10.8,0.421,1.8,5.0,0.356,2.8,5.8,0.476,0.503,3.6,4.9,0.739,0.8,5.3,6.1,2.2,1.0,0.7,2.8,2.3,14.5,0.0,1.0,0.0,F
13,18,18,28.1,4.6,11.9,0.383,1.7,5.1,0.341,2.8,6.8,0.415,0.456,3.6,4.2,0.842,0.5,3.2,3.7,0.6,0.7,0.7,2.1,2.7,14.4,0.0,1.0,0.0,F
14,18,17,31.8,4.7,11.6,0.402,1.7,5.1,0.341,2.9,6.6,0.449,0.476,3.2,3.7,0.851,1.0,1.9,2.9,1.1,0.7,0.2,1.1,1.8,14.2,0.0,0.0,1.0,G
15,18,18,34.6,3.6,10.8,0.335,1.9,6.5,0.291,1.7,4.3,0.403,0.423,4.7,5.8,0.8,1.3,3.4,4.7,1.5,1.0,0.2,1.5,2.4,13.8,0.0,0.0,1.0,G
16,18,18,35.2,4.6,11.4,0.398,1.7,5.2,0.323,2.9,6.3,0.46,0.471,3.0,3.6,0.844,0.7,4.1,4.8,2.4,0.9,0.5,3.3,2.8,13.8,0.0,0.0,1.0,G
17,18,18,37.8,4.8,10.5,0.455,1.0,3.2,0.316,3.8,7.3,0.515,0.503,2.6,3.7,0.712,0.4,3.5,3.9,6.9,1.6,0.0,3.4,2.7,13.2,0.0,0.0,1.0,G
18,18,18,35.3,4.2,9.4,0.447,2.3,5.5,0.414,1.9,3.9,0.493,0.568,2.3,2.8,0.824,1.9,4.4,6.3,1.4,1.3,0.4,1.2,1.4,13.1,0.0,1.0,0.0,F
19,18,18,34.3,4.7,8.9,0.525,1.3,2.4,0.523,3.4,6.4,0.526,0.597,2.4,2.8,0.88,2.0,6.1,8.1,2.4,1.3,0.3,1.5,2.5,13.1,0.0,1.0,0.0,F
20,18,18,31.4,4.1,9.8,0.412,1.2,3.3,0.35,2.9,6.5,0.444,0.472,3.7,4.9,0.742,0.9,3.5,4.4,3.7,1.6,0.1,2.8,2.4,12.9,0.0,0.0,1.0,G
21,17,9,29.0,4.7,11.4,0.412,1.3,4.4,0.293,3.4,7.0,0.487,0.469,2.1,3.3,0.643,2.4,3.8,6.2,1.5,1.1,0.8,1.6,2.1,12.8,0.0,0.0,1.0,G
22,18,6,28.4,4.2,10.7,0.394,1.9,6.3,0.298,2.3,4.4,0.532,0.482,2.2,2.4,0.886,0.4,1.8,2.3,1.3,0.6,0.4,1.7,2.0,12.5,0.0,0.0,1.0,G
23,17,17,32.0,3.6,10.1,0.355,1.5,5.8,0.255,2.1,4.4,0.486,0.427,3.6,3.8,0.954,0.1,2.4,2.5,3.0,0.7,0.1,2.2,1.4,12.3,0.0,0.0,1.0,G
24,18,17,34.7,4.8,8.2,0.588,0.0,0.1,0.0,4.8,8.1,0.596,0.588,2.4,3.6,0.688,1.5,3.3,4.8,2.9,1.2,0.4,1.8,2.6,12.1,0.0,1.0,0.0,F
25,18,18,27.9,4.2,8.3,0.5,0.8,2.1,0.405,3.3,6.3,0.531,0.55,2.8,3.8,0.725,2.4,5.1,7.5,0.4,0.7,1.0,1.6,2.7,11.9,0.0,1.0,0.0,F
26,18,18,30.9,5.1,9.1,0.564,0.0,0.1,0.0,5.1,9.0,0.568,0.564,1.3,2.6,0.522,2.9,3.9,6.9,2.0,1.3,1.0,1.1,2.3,11.6,0.0,1.0,0.0,F
27,11,0,28.5,3.8,8.4,0.457,1.5,3.1,0.5,2.3,5.3,0.431,0.549,2.4,3.2,0.743,1.0,3.2,4.2,1.2,0.4,0.2,1.3,1.6,11.5,0.0,0.0,1.0,G
28,17,4,26.9,3.6,5.8,0.633,1.4,2.6,0.511,2.3,3.1,0.736,0.75,2.9,3.7,0.778,1.0,4.1,5.1,1.5,0.6,0.4,1.3,1.5,11.5,0.0,0.0,1.0,G
29,17,0,28.8,4.1,8.5,0.479,1.9,5.2,0.36,2.2,3.2,0.673,0.59,1.5,1.6,0.929,1.1,3.1,4.2,1.2,0.7,0.1,0.7,1.9,11.5,0.0,0.0,1.0,G
30,18,1,28.8,4.0,9.7,0.411,1.9,5.6,0.337,2.1,4.1,0.514,0.509,1.5,1.7,0.871,0.3,2.3,2.6,1.8,1.2,0.1,0.8,1.8,11.4,0.0,0.0,1.0,G
31,18,15,29.9,3.6,7.2,0.496,1.5,4.1,0.365,2.1,3.1,0.673,0.601,2.8,3.6,0.785,1.4,4.7,6.1,1.4,1.1,0.3,0.8,2.4,11.4,0.0,0.0,1.0,G
32,18,8,25.6,4.1,8.8,0.468,1.2,3.2,0.368,2.9,5.6,0.525,0.535,2.1,3.2,0.649,0.3,2.3,2.6,3.3,1.6,0.4,2.3,2.3,11.4,0.0,0.0,1.0,G
33,18,18,30.6,3.7,7.5,0.489,1.6,3.6,0.438,2.1,3.9,0.535,0.593,2.3,3.3,0.683,0.3,2.4,2.7,1.5,1.1,0.3,1.3,2.6,11.2,0.0,0.0,1.0,G
34,18,17,29.6,3.3,9.4,0.355,2.0,5.5,0.364,1.3,3.9,0.343,0.462,2.5,2.9,0.849,0.8,3.1,3.9,0.8,1.6,0.0,1.1,3.1,11.2,0.0,0.0,1.0,G
35,18,18,32.6,3.6,8.0,0.444,2.7,6.1,0.44,0.9,1.9,0.457,0.611,1.4,1.7,0.833,0.1,2.5,2.6,4.1,0.9,0.0,3.0,2.4,11.2,0.0,0.0,1.0,G
36,18,18,25.0,4.2,7.1,0.594,0.0,0.0,0.28782012195121953,4.2,7.1,0.594,0.594,2.7,3.9,0.676,2.3,2.7,5.0,0.6,0.4,1.2,1.1,2.6,11.1,0.0,1.0,0.0,F
37,17,2,16.9,4.3,6.8,0.635,0.0,0.0,0.28782012195121953,4.3,6.8,0.635,0.635,2.3,3.4,0.672,2.0,3.1,5.1,1.1,0.4,0.8,1.8,1.8,10.9,0.0,1.0,0.0,F
38,18,14,27.7,2.9,9.1,0.325,2.5,6.8,0.369,0.4,2.3,0.195,0.463,2.6,3.6,0.708,0.3,1.4,1.7,0.6,0.7,0.1,0.7,1.7,10.9,0.0,0.0,1.0,G
39,18,18,30.9,4.1,9.4,0.429,0.8,2.1,0.368,3.3,7.3,0.447,0.471,2.0,3.3,0.6,1.6,3.2,4.7,2.3,1.2,0.3,1.6,2.6,10.9,0.0,0.0,1.0,G
40,18,18,31.8,3.4,9.6,0.358,2.2,6.6,0.331,1.3,3.1,0.418,0.471,1.7,2.0,0.861,0.6,2.6,3.2,2.7,0.6,0.2,2.4,1.2,10.8,0.0,0.0,1.0,G
41,18,18,33.2,3.4,9.3,0.369,0.8,2.8,0.28,2.7,6.6,0.407,0.411,3.1,3.7,0.836,0.4,1.7,2.2,4.6,1.7,0.1,2.4,2.4,10.8,0.0,0.0,1.0,G
42,11,11,28.9,4.5,7.1,0.641,0.0,0.0,0.28782012195121953,4.5,7.1,0.641,0.641,1.7,3.1,0.559,1.8,4.5,6.3,1.7,0.8,1.4,1.5,2.5,10.8,0.0,1.0,0.0,F
43,18,18,32.8,4.1,9.2,0.44,1.2,3.3,0.367,2.8,5.9,0.481,0.506,1.2,1.9,0.647,0.7,2.1,2.7,4.1,1.7,0.2,2.6,1.8,10.6,0.0,0.0,1.0,G
44,17,12,24.9,3.3,7.8,0.421,2.0,5.5,0.362,1.3,2.3,0.564,0.549,1.9,2.5,0.786,0.4,2.5,2.9,1.0,0.6,0.1,0.6,2.5,10.5,0.0,0.0,1.0,G
45,8,8,29.5,3.4,9.3,0.365,1.0,4.3,0.235,2.4,5.0,0.475,0.419,2.6,3.6,0.724,0.3,1.5,1.8,1.1,0.6,0.1,2.3,2.9,10.4,0.0,0.0,1.0,G
46,18,18,28.8,3.6,8.7,0.417,1.3,4.2,0.307,2.3,4.5,0.519,0.49,1.7,2.2,0.769,1.9,4.1,5.9,2.1,1.2,0.0,1.6,1.6,10.2,0.0,0.0,1.0,G
47,17,17,31.0,3.5,9.9,0.351,0.8,2.7,0.304,2.6,7.2,0.369,0.393,2.5,3.5,0.712,1.1,2.5,3.6,3.9,2.2,0.1,2.4,2.3,10.2,0.0,0.0,1.0,G
48,18,13,28.1,3.3,8.2,0.405,2.4,5.7,0.417,0.9,2.5,0.378,0.551,1.2,1.3,0.913,0.2,2.4,2.6,2.1,1.2,0.1,1.6,2.6,10.2,0.0,0.0,1.0,G
49,18,18,30.4,3.8,7.5,0.511,0.8,2.5,0.333,3.0,5.0,0.6,0.567,1.4,2.1,0.703,1.7,3.4,5.1,1.6,1.3,0.2,1.4,2.4,9.9,0.0,0.0,1.0,G
50,18,11,25.9,3.0,7.8,0.386,1.2,3.4,0.355,1.8,4.3,0.41,0.464,2.6,3.1,0.836,0.7,2.4,3.1,2.1,0.6,0.2,1.8,1.6,9.8,0.0,1.0,0.0,F
51,18,18,35.9,3.7,8.2,0.446,0.6,1.9,0.286,3.1,6.3,0.496,0.48,1.5,1.8,0.818,0.3,1.3,1.6,6.0,1.7,0.3,2.0,1.3,9.4,0.0,0.0,1.0,G
52,18,18,27.8,3.6,9.9,0.36,0.6,3.1,0.2,2.9,6.8,0.431,0.39,1.6,1.9,0.829,0.5,1.7,2.2,3.4,1.8,0.1,2.1,2.1,9.3,0.0,0.0,1.0,G
53,18,18,32.9,3.7,9.6,0.384,1.1,3.6,0.308,2.6,5.9,0.43,0.442,0.7,0.9,0.765,0.3,3.0,3.3,4.7,0.8,0.2,2.1,1.8,9.2,0.0,0.0,1.0,G
54,18,17,28.7,3.9,7.1,0.555,0.0,0.1,0.0,3.9,7.0,0.563,0.555,1.3,1.9,0.686,1.4,5.2,6.6,1.3,1.1,0.6,1.5,1.6,9.2,0.0,1.0,0.0,F
55,18,18,31.9,3.1,7.7,0.396,1.6,4.7,0.333,1.5,3.1,0.491,0.496,1.4,2.2,0.641,1.2,3.2,4.4,5.5,0.9,0.1,1.9,3.1,9.1,0.0,0.0,1.0,G
56,18,18,31.4,3.3,8.9,0.369,1.2,4.1,0.284,2.1,4.8,0.442,0.434,1.3,1.8,0.719,0.4,2.4,2.8,1.4,0.6,0.2,1.0,1.6,9.0,0.0,1.0,0.0,F
57,18,18,28.3,3.1,6.6,0.471,2.1,4.8,0.437,1.0,1.8,0.563,0.63,0.6,0.9,0.688,0.5,1.9,2.4,0.3,0.6,0.2,0.6,1.5,8.9,0.0,0.0,1.0,G
58,18,18,25.7,3.1,5.3,0.589,0.0,0.0,0.28782012195121953,3.1,5.3,0.589,0.589,2.6,3.8,0.676,1.2,3.8,5.1,1.5,1.0,1.0,1.9,2.7,8.8,1.0,0.0,0.0,C
59,18,4,19.9,3.4,6.5,0.53,0.4,1.1,0.368,3.1,5.4,0.561,0.56,1.5,2.4,0.614,1.4,2.2,3.6,0.9,0.6,0.1,0.9,2.3,8.8,0.0,1.0,0.0,F
60,18,1,20.7,3.4,6.8,0.5,1.0,2.7,0.367,2.4,4.1,0.589,0.574,0.9,1.4,0.68,1.2,2.6,3.8,0.7,0.7,0.2,0.2,2.2,8.7,0.0,0.0,1.0,G
61,16,0,18.3,3.4,6.5,0.519,0.7,1.8,0.393,2.7,4.8,0.566,0.572,1.1,1.5,0.75,0.7,1.8,2.5,0.9,0.5,0.5,0.4,1.6,8.6,0.0,1.0,0.0,F
62,17,17,25.0,2.6,6.4,0.407,1.5,4.5,0.325,1.1,1.8,0.613,0.523,1.6,1.9,0.818,1.1,3.6,4.8,0.5,0.5,0.7,0.9,2.0,8.2,0.0,1.0,0.0,F
63,18,14,23.3,2.9,8.2,0.358,0.4,1.9,0.206,2.6,6.3,0.404,0.382,1.9,3.4,0.548,0.9,2.6,3.6,0.9,0.9,0.4,1.2,2.4,8.2,0.0,0.0,1.0,G
64,18,18,23.4,3.2,7.2,0.438,0.7,2.1,0.316,2.5,5.1,0.489,0.485,1.1,1.4,0.769,1.8,3.0,4.8,0.5,0.9,0.2,1.4,2.7,8.1,0.0,1.0,0.0,F
65,18,8,25.1,3.4,5.3,0.646,0.1,0.2,0.25,3.4,5.1,0.663,0.651,0.9,1.8,0.515,1.3,4.4,5.8,1.1,0.6,1.0,1.5,2.3,7.9,0.0,1.0,0.0,F
66,15,13,23.5,2.7,6.9,0.398,0.4,1.3,0.3,2.3,5.5,0.422,0.427,1.9,3.0,0.644,1.0,4.0,5.0,0.5,0.5,0.5,1.2,2.2,7.8,0.0,1.0,0.0,F
67,16,16,30.0,2.6,6.8,0.389,0.3,1.3,0.19,2.4,5.4,0.437,0.407,2.2,3.4,0.636,1.1,2.4,3.5,2.9,2.1,0.7,1.9,2.9,7.7,0.0,0.0,1.0,G
68,18,8,27.3,3.1,5.3,0.583,0.2,0.4,0.375,2.9,4.9,0.602,0.599,1.3,2.7,0.49,2.4,3.6,5.9,0.9,0.9,0.8,0.8,2.7,7.7,0.0,1.0,0.0,F
69,18,15,24.2,2.6,7.0,0.365,0.8,2.4,0.326,1.8,4.6,0.386,0.421,1.7,2.3,0.756,0.2,2.6,2.7,3.4,1.2,0.4,2.4,2.7,7.6,0.0,0.0,1.0,G
70,18,6,20.8,2.5,4.8,0.517,0.2,0.9,0.176,2.3,3.9,0.6,0.534,2.3,3.2,0.707,1.8,1.7,3.5,0.8,0.6,0.3,0.4,2.2,7.4,0.0,0.0,1.0,G
71,18,0,17.4,3.1,7.2,0.423,0.6,1.7,0.323,2.5,5.5,0.455,0.462,0.6,0.9,0.688,0.7,0.8,1.4,1.9,0.4,0.1,1.3,1.1,7.3,0.0,0.0,1.0,G
72,18,14,26.6,2.7,6.3,0.421,0.2,1.3,0.13,2.5,5.1,0.495,0.434,1.8,2.4,0.727,1.9,3.1,4.9,1.7,0.8,0.3,1.5,1.7,7.3,0.0,0.0,1.0,G
73,11,0,16.5,2.5,4.9,0.5,0.5,1.4,0.333,2.0,3.5,0.564,0.546,1.7,2.6,0.655,0.4,1.9,2.3,1.3,0.1,0.2,1.0,2.6,7.1,0.0,1.0,0.0,F
74,18,18,21.7,2.9,5.5,0.535,0.0,0.0,0.28782012195121953,2.9,5.5,0.535,0.535,1.1,2.5,0.444,2.4,1.6,4.0,1.1,1.2,0.7,1.0,2.6,7.0,0.0,1.0,0.0,F
75,15,7,22.4,2.4,5.1,0.474,0.5,2.3,0.229,1.9,2.7,0.683,0.526,1.6,2.0,0.8,0.3,1.7,2.0,1.3,0.7,0.0,1.1,1.9,6.9,0.0,0.0,1.0,G
76,16,16,21.1,2.4,6.1,0.402,1.2,3.8,0.311,1.3,2.3,0.556,0.5,0.7,1.0,0.688,0.8,3.1,3.8,4.1,0.4,0.9,1.7,1.8,6.8,0.0,1.0,0.0,F
77,17,15,24.1,2.4,3.8,0.641,0.1,0.1,0.5,2.4,3.6,0.645,0.648,1.6,2.9,0.571,2.2,4.9,7.1,0.4,0.8,1.5,1.2,2.6,6.5,1.0,0.0,0.0,C
78,18,2,18.6,2.3,6.4,0.362,0.5,1.5,0.333,1.8,4.9,0.371,0.401,1.2,1.6,0.786,0.3,2.5,2.8,1.6,0.4,0.0,1.4,2.1,6.4,0.0,0.0,1.0,G
