,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_C,Pos_F,Pos_G,Pos
79,14,11,20.2,2.4,5.6,0.43,0.3,1.5,0.19,2.1,4.1,0.517,0.456,1.1,2.0,0.536,1.7,2.6,4.4,1.1,0.6,0.7,1.3,1.7,6.2,0.0,1.0,0.0,F
80,17,16,19.5,2.3,4.4,0.52,0.0,0.0,0.28782012195121953,2.3,4.4,0.52,0.52,1.5,2.4,0.634,2.0,3.2,5.2,0.5,0.5,1.5,1.4,2.7,6.1,0.0,1.0,0.0,F
81,18,18,20.7,2.6,3.7,0.687,0.0,0.0,0.28782012195121953,2.6,3.7,0.687,0.687,0.7,1.4,0.52,2.2,2.8,5.0,0.2,0.9,1.4,0.5,2.8,5.8,0.0,1.0,0.0,F
82,18,1,24.0,1.6,4.1,0.378,1.4,3.2,0.431,0.2,0.9,0.188,0.547,1.3,1.7,0.774,0.1,1.8,1.9,0.3,0.3,0.1,0.4,1.8,5.8,0.0,0.0,1.0,G
83,18,18,19.1,2.2,4.1,0.534,0.0,0.0,0.28782012195121953,2.2,4.1,0.534,0.534,1.5,2.3,0.643,2.7,2.1,4.8,0.6,0.3,0.3,1.4,2.8,5.8,0.0,1.0,0.0,F
84,18,0,16.5,2.3,4.1,0.575,0.0,0.0,0.28782012195121953,2.3,4.1,0.575,0.575,0.8,1.5,0.556,1.6,2.3,3.8,0.9,1.2,1.1,0.7,2.5,5.5,0.0,1.0,0.0,F
85,18,1,15.0,1.8,5.4,0.33,0.7,3.0,0.222,1.1,2.4,0.465,0.392,1.2,1.7,0.71,1.6,2.0,3.6,0.5,0.4,0.1,0.9,1.1,5.4,0.0,1.0,0.0,F
86,18,5,15.5,1.7,3.9,0.423,0.8,2.6,0.304,0.9,1.4,0.64,0.521,1.2,1.4,0.846,0.0,1.9,1.9,0.6,0.6,0.1,0.7,1.1,5.3,0.0,0.0,1.0,G
87,18,0,15.7,1.5,4.3,0.351,0.8,2.1,0.368,0.7,2.2,0.333,0.442,1.4,1.8,0.758,0.4,1.6,2.1,0.4,0.7,0.2,0.9,1.2,5.2,0.0,0.0,1.0,G
88,18,6,16.8,1.8,3.6,0.492,0.0,0.1,0.0,1.8,3.6,0.5,0.492,1.6,2.7,0.583,1.9,1.3,3.2,0.3,0.4,0.3,0.7,1.8,5.1,0.0,1.0,0.0,F
89,18,0,15.3,2.0,2.9,0.692,0.0,0.1,0.0,2.0,2.8,0.706,0.692,0.9,1.3,0.667,1.4,1.6,3.0,0.3,0.4,0.1,1.1,2.1,4.9,0.0,1.0,0.0,F
90,18,15,24.1,1.8,3.9,0.457,0.4,1.2,0.381,1.3,2.7,0.49,0.514,0.7,0.9,0.706,0.1,1.3,1.4,1.8,0.4,0.1,1.7,0.8,4.7,0.0,0.0,1.0,G
91,13,13,18.2,1.2,2.0,0.615,0.0,0.0,0.28782012195121953,1.2,2.0,0.615,0.615,1.7,2.7,0.629,2.2,3.1,5.3,0.2,1.1,0.5,0.7,1.9,4.2,1.0,0.0,0.0,C
92,16,10,16.8,1.3,3.5,0.375,0.7,1.8,0.379,0.6,1.7,0.37,0.473,0.7,0.8,0.846,0.1,0.9,1.1,1.1,0.3,0.1,1.3,1.8,4.0,0.0,0.0,1.0,G
93,18,9,19.4,1.3,3.8,0.338,0.7,2.2,0.308,0.6,1.6,0.379,0.426,0.7,0.8,0.8,0.3,1.9,2.2,0.8,0.3,0.1,0.4,1.3,3.9,0.0,0.0,1.0,G
94,18,2,16.0,1.7,3.0,0.556,0.1,0.5,0.111,1.6,2.5,0.644,0.565,0.3,0.7,0.417,1.2,2.5,3.7,0.4,0.3,1.5,1.3,2.6,3.7,0.0,1.0,0.0,F
95,18,0,16.3,1.2,3.3,0.35,1.0,2.9,0.34,0.2,0.4,0.429,0.5,0.3,0.4,0.857,0.1,1.2,1.3,0.3,0.5,0.1,0.3,1.1,3.7,0.0,0.0,1.0,G
96,15,0,15.7,1.5,2.9,0.512,0.0,0.1,0.0,1.5,2.8,0.524,0.512,0.7,1.4,0.476,1.7,2.5,4.1,0.2,0.7,0.7,0.5,3.0,3.6,0.0,1.0,0.0,F
97,18,4,19.3,1.1,2.7,0.408,0.7,1.9,0.353,0.4,0.8,0.533,0.531,0.7,0.8,0.867,1.2,1.7,2.9,1.8,0.6,0.1,0.3,2.6,3.6,0.0,1.0,0.0,F
98,18,18,38.7,5.2,13.9,0.375,2.8,7.8,0.362,2.4,6.1,0.391,0.476,6.2,6.8,0.911,0.4,3.2,3.6,7.2,2.8,0.1,4.1,2.7,19.5,0.0,0.0,1.0,G
99,18,18,36.0,6.1,15.1,0.406,1.9,5.8,0.327,4.2,9.3,0.455,0.469,4.6,5.8,0.79,1.4,6.5,7.9,2.2,0.7,0.7,2.5,2.5,18.7,0.0,1.0,0.0,F
100,18,18,35.6,6.8,13.6,0.5,1.4,3.4,0.41,5.4,10.2,0.53,0.551,3.2,4.4,0.713,1.3,5.6,6.9,2.1,0.9,0.2,3.2,2.6,18.1,0.0,1.0,0.0,F
101,13,13,34.1,6.0,12.2,0.491,1.2,3.6,0.34,4.8,8.6,0.554,0.541,4.6,5.8,0.789,0.2,2.4,2.6,2.3,1.2,0.2,3.2,2.5,17.8,0.0,0.0,1.0,G
102,18,18,34.9,5.3,12.9,0.408,2.4,6.5,0.368,2.9,6.4,0.448,0.5,2.9,3.7,0.803,0.4,1.7,2.2,4.7,0.9,0.1,1.7,2.3,15.9,0.0,0.0,1.0,G
103,17,17,28.8,4.8,12.3,0.388,2.3,6.6,0.348,2.5,5.7,0.433,0.481,3.9,5.2,0.761,1.0,3.2,4.2,2.1,0.9,0.1,2.8,2.2,15.8,0.0,0.0,1.0,G
104,18,18,35.7,5.4,12.9,0.418,2.0,6.2,0.321,3.4,6.7,0.508,0.496,2.7,3.4,0.787,0.3,3.0,3.3,4.2,1.5,0.1,1.7,2.0,15.4,0.0,0.0,1.0,G
105,18,18,26.7,5.3,13.7,0.389,2.2,6.6,0.331,3.2,7.2,0.442,0.468,2.6,3.1,0.836,0.6,3.0,3.6,2.3,1.0,0.1,2.6,3.2,15.4,0.0,0.0,1.0,G
106,18,18,36.2,5.0,12.0,0.417,2.4,6.3,0.386,2.6,5.7,0.451,0.519,2.2,3.1,0.709,0.7,2.1,2.8,1.4,1.2,0.3,1.6,2.9,14.6,0.0,0.0,1.0,G
107,18,18,31.6,5.4,12.7,0.43,0.8,2.7,0.292,4.7,10.0,0.467,0.461,2.8,4.4,0.638,0.2,2.9,3.1,2.9,1.5,0.1,2.0,1.4,14.5,0.0,0.0,1.0,G
108,17,17,33.4,4.6,10.5,0.444,2.6,5.7,0.454,2.1,4.8,0.432,0.567,2.3,2.6,0.886,0.4,1.8,2.1,2.2,0.4,0.0,1.3,1.2,14.2,0.0,0.0,1.0,G
109,18,0,23.7,4.1,8.9,0.463,1.9,4.7,0.405,2.2,4.2,0.526,0.569,4.1,4.6,0.902,0.8,2.9,3.7,1.6,0.9,0.2,1.4,2.5,14.2,0.0,0.0,1.0,G
110,18,18,34.4,4.7,13.1,0.362,2.3,7.4,0.313,2.4,5.6,0.426,0.451,2.3,2.8,0.824,0.2,2.1,2.3,2.8,0.6,0.0,2.6,1.9,14.1,0.0,0.0,1.0,G
111,18,18,33.3,4.4,10.7,0.417,2.1,5.8,0.362,2.3,4.8,0.483,0.516,2.6,2.9,0.868,0.9,4.0,4.9,1.6,1.4,0.3,1.4,2.6,13.6,0.0,0.0,1.0,G
112,18,18,35.8,4.7,10.5,0.444,0.8,2.8,0.294,3.8,7.7,0.5,0.484,3.1,4.1,0.757,0.7,3.6,4.3,6.5,1.9,0.3,2.9,1.6,13.3,0.0,0.0,1.0,G
113,18,18,32.3,4.1,9.0,0.451,1.0,3.8,0.265,3.1,5.2,0.585,0.506,3.4,4.5,0.765,2.2,4.4,6.6,0.6,0.5,0.5,2.3,2.8,12.6,0.0,1.0,0.0,F
114,18,18,33.0,4.6,11.8,0.385,1.2,3.8,0.304,3.4,8.0,0.424,0.434,2.2,2.9,0.75,0.7,3.1,3.8,3.4,0.8,0.1,2.0,2.1,12.4,0.0,0.0,1.0,G
115,18,18,29.9,4.6,11.1,0.415,1.8,4.7,0.393,2.8,6.4,0.431,0.498,1.4,2.3,0.61,0.2,2.7,2.9,2.3,0.7,0.0,2.4,2.6,12.4,0.0,0.0,1.0,G
116,18,17,22.0,5.0,8.1,0.621,0.0,0.1,0.0,5.0,7.9,0.629,0.621,2.4,3.3,0.717,2.2,2.9,5.1,0.9,0.7,1.3,1.7,2.4,12.4,0.0,1.0,0.0,F
117,12,11,30.2,4.0,11.3,0.353,2.8,7.7,0.359,1.3,3.7,0.341,0.474,1.7,1.8,0.952,0.1,1.8,1.8,2.3,0.8,0.0,2.2,1.9,12.4,0.0,0.0,1.0,G
118,17,17,31.8,3.3,8.3,0.397,0.8,2.8,0.292,2.5,5.5,0.452,0.447,4.9,5.8,0.847,0.5,1.6,2.1,3.1,1.7,0.1,2.8,2.8,12.3,0.0,0.0,1.0,G
119,18,18,31.1,5.1,9.9,0.511,0.6,1.6,0.357,4.5,8.3,0.54,0.539,1.5,2.3,0.643,1.9,4.8,6.7,1.7,1.0,0.8,1.7,2.3,12.2,0.0,1.0,0.0,F
120,10,8,27.8,4.5,10.2,0.441,0.5,1.8,0.278,4.0,8.4,0.476,0.466,2.3,3.1,0.742,3.2,5.1,8.3,1.7,0.5,0.3,2.4,2.6,11.8,0.0,1.0,0.0,F
121,18,18,32.6,4.6,9.6,0.474,1.5,4.0,0.375,3.1,5.6,0.545,0.552,1.1,1.3,0.792,1.7,5.3,7.1,1.4,1.4,0.3,1.8,2.1,11.7,0.0,0.0,1.0,G
122,18,18,28.3,4.4,7.6,0.588,0.0,0.1,0.0,4.4,7.4,0.597,0.588,2.6,3.9,0.657,2.2,2.3,4.6,1.6,0.4,0.8,1.6,2.8,11.4,0.0,1.0,0.0,F
123,18,18,30.6,3.9,8.3,0.473,0.1,0.5,0.111,3.9,7.8,0.496,0.477,3.3,4.3,0.769,0.9,4.5,5.4,2.9,1.2,0.3,1.8,2.1,11.3,0.0,1.0,0.0,F
124,18,18,32.2,3.8,8.7,0.436,1.2,2.9,0.404,2.6,5.8,0.452,0.503,2.3,3.0,0.759,1.7,4.3,6.0,1.7,0.7,0.9,2.2,3.1,11.0,1.0,0.0,0.0,C
125,18,18,31.8,3.3,7.9,0.415,0.7,2.7,0.245,2.6,5.2,0.505,0.458,3.3,4.3,0.769,0.9,5.7,6.6,2.7,1.7,0.7,1.9,3.4,10.6,0.0,0.0,1.0,G
126,18,18,30.4,3.6,9.9,0.358,2.2,6.3,0.345,1.4,3.7,0.379,0.466,1.3,1.9,0.676,0.4,2.0,2.4,1.9,0.8,0.2,1.8,2.1,10.6,0.0,0.0,1.0,G
127,18,18,30.4,3.8,7.9,0.479,1.1,3.4,0.323,2.7,4.4,0.6,0.549,1.8,2.4,0.767,2.7,3.9,6.6,1.0,0.9,1.1,1.3,2.3,10.5,0.0,1.0,0.0,F
128,18,18,33.8,3.7,7.2,0.508,0.6,2.0,0.306,3.1,5.2,0.585,0.55,2.4,2.9,0.811,1.3,4.8,6.1,1.7,0.9,0.7,1.4,2.0,10.3,0.0,1.0,0.0,F
129,18,9,28.4,3.0,7.0,0.429,1.9,5.2,0.362,1.1,1.8,0.625,0.563,2.4,2.9,0.827,0.4,3.3,3.7,1.8,0.9,0.3,1.7,2.3,10.3,0.0,0.0,1.0,G
130,18,18,29.1,3.9,8.2,0.483,0.6,2.6,0.234,3.3,5.6,0.6,0.52,1.8,2.4,0.75,1.6,2.6,4.1,1.1,0.6,0.7,1.1,1.2,10.3,0.0,1.0,0.0,F
131,18,18,30.0,3.3,9.1,0.36,1.6,4.4,0.35,1.7,4.7,0.369,0.445,2.1,2.6,0.809,0.4,1.8,2.2,2.1,1.1,0.2,1.8,1.3,10.2,0.0,0.0,1.0,G
132,18,18,32.1,3.7,8.2,0.446,1.2,3.2,0.386,2.4,5.1,0.484,0.52,0.9,1.3,0.739,0.2,2.9,3.2,2.8,0.8,0.1,2.7,2.6,9.5,0.0,0.0,1.0,G
133,18,18,36.0,3.8,8.4,0.45,1.2,2.6,0.468,2.6,5.8,0.442,0.523,0.5,1.0,0.5,0.7,1.9,2.6,5.9,2.0,0.3,1.7,1.4,9.3,0.0,0.0,1.0,G
134,18,18,24.9,3.3,6.8,0.488,0.7,2.3,0.293,2.7,4.6,0.585,0.537,1.9,2.4,0.795,1.3,5.5,6.8,1.0,0.9,0.9,1.4,3.2,9.3,0.0,1.0,0.0,F
135,15,12,30.5,2.5,6.8,0.373,2.3,5.9,0.386,0.3,0.9,0.286,0.539,1.8,2.5,0.73,0.4,3.3,3.7,1.5,1.1,0.0,1.6,2.3,9.1,0.0,0.0,1.0,G
136,18,18,26.6,3.6,7.1,0.504,0.4,1.6,0.25,3.2,5.5,0.576,0.531,1.6,2.2,0.744,2.4,3.3,5.7,1.5,1.1,0.7,1.5,3.4,9.1,0.0,1.0,0.0,F
137,9,9,26.4,3.3,9.0,0.37,0.2,2.4,0.091,3.1,6.6,0.475,0.383,2.1,3.4,0.613,0.1,2.7,2.8,3.7,0.4,0.3,2.6,2.2,9.0,0.0,0.0,1.0,G
138,18,17,20.7,3.6,5.9,0.607,0.1,0.4,0.125,3.6,5.5,0.646,0.612,1.6,2.5,0.622,1.8,3.1,4.8,0.9,0.3,1.5,1.1,2.8,8.8,0.0,1.0,0.0,F
139,18,0,16.1,3.3,6.4,0.517,0.6,1.6,0.345,2.8,4.8,0.575,0.56,1.6,2.1,0.737,0.9,2.2,3.1,1.0,0.6,0.6,0.7,1.7,8.8,0.0,1.0,0.0,F
140,18,1,20.7,2.3,6.5,0.359,0.9,3.0,0.315,1.4,3.5,0.397,0.432,3.2,4.2,0.76,0.5,2.2,2.7,2.2,0.6,0.0,1.4,2.6,8.8,0.0,0.0,1.0,G
141,17,4,31.1,2.7,6.1,0.447,0.5,2.2,0.243,2.2,3.9,0.561,0.49,2.7,3.6,0.754,0.5,3.4,3.9,2.2,1.0,0.4,1.3,2.4,8.6,0.0,0.0,1.0,G
142,18,18,18.8,3.4,6.1,0.569,0.3,0.8,0.4,3.1,5.2,0.596,0.596,1.3,1.8,0.75,1.3,2.7,4.0,0.9,0.5,1.5,1.2,3.4,8.6,0.0,1.0,0.0,F
143,18,18,30.6,3.3,6.6,0.496,0.1,0.8,0.133,3.2,5.8,0.548,0.504,1.7,2.3,0.756,1.5,2.6,4.1,4.6,2.3,0.1,2.8,2.3,8.4,0.0,0.0,1.0,G
144,9,5,23.0,2.3,5.6,0.42,1.3,4.1,0.324,1.0,1.4,0.692,0.54,1.3,1.9,0.706,0.3,2.1,2.4,0.6,1.0,0.2,0.6,2.6,7.3,0.0,1.0,0.0,F
145,15,8,17.1,2.4,5.5,0.434,0.1,0.3,0.25,2.3,5.3,0.443,0.44,1.9,2.7,0.707,1.1,1.7,2.7,0.2,1.4,0.3,1.5,2.5,6.8,0.0,0.0,1.0,G
146,18,18,25.7,2.2,6.2,0.357,1.0,2.8,0.353,1.2,3.4,0.361,0.438,0.9,1.3,0.708,0.5,2.6,3.1,1.5,0.7,0.3,2.0,1.8,6.4,0.0,0.0,1.0,G
147,9,0,20.8,2.2,4.3,0.513,0.7,1.3,0.5,1.6,3.0,0.519,0.59,1.2,1.4,0.846,1.4,3.8,5.2,0.6,0.4,0.4,1.1,2.2,6.3,0.0,1.0,0.0,F
148,18,4,17.5,2.5,5.2,0.479,0.6,2.0,0.306,1.9,3.2,0.586,0.537,0.7,1.1,0.632,0.3,2.0,2.3,1.9,1.3,0.2,1.1,0.6,6.3,0.0,0.0,1.0,G
149,16,1,18.3,2.1,4.7,0.44,0.8,2.1,0.394,1.3,2.6,0.476,0.527,1.0,1.8,0.571,0.9,1.2,2.1,0.9,0.3,0.1,0.6,1.6,5.9,0.0,0.0,1.0,G
150,18,0,15.9,1.9,4.9,0.382,1.3,3.3,0.407,0.6,1.7,0.333,0.517,0.8,0.9,0.938,0.7,1.1,1.7,0.6,0.2,0.2,0.4,2.2,5.9,0.0,1.0,0.0,F
151,18,0,17.2,2.3,4.4,0.519,0.0,0.2,0.0,2.3,4.2,0.539,0.519,1.4,2.2,0.625,1.2,2.2,3.4,0.8,1.0,0.4,1.3,2.7,5.9,0.0,1.0,0.0,F
152,14,4,18.5,2.4,6.0,0.405,0.6,1.9,0.333,1.8,4.1,0.439,0.458,0.4,1.1,0.4,1.4,1.9,3.4,0.8,0.9,0.6,1.2,2.1,5.9,0.0,0.0,1.0,G
153,18,18,20.8,1.6,2.9,0.538,0.0,0.0,0.28782012195121953,1.6,2.9,0.538,0.538,2.7,3.7,0.727,1.7,3.1,4.7,0.8,0.4,0.1,1.5,3.4,5.8,0.0,1.0,0.0,F
154,13,10,20.3,2.3,3.9,0.588,0.0,0.0,0.28782012195121953,2.3,3.9,0.588,0.588,1.1,1.7,0.636,1.8,2.9,4.7,1.1,0.5,0.5,1.8,1.6,5.7,1.0,0.0,0.0,C
155,18,1,16.4,2.1,4.3,0.474,0.2,0.7,0.308,1.8,3.6,0.508,0.5,0.9,1.2,0.773,1.3,2.8,4.1,0.1,0.9,0.2,0.8,2.7,5.3,0.0,1.0,0.0,F
156,18,9,16.4,1.9,5.2,0.376,1.1,3.0,0.352,0.9,2.2,0.41,0.478,0.3,0.6,0.6,0.3,1.8,2.1,0.4,0.3,0.0,0.8,1.1,5.3,0.0,0.0,1.0,G
157,11,6,16.6,2.0,2.7,0.733,0.1,0.1,1.0,1.9,2.6,0.724,0.75,1.0,2.1,0.478,1.1,1.7,2.8,0.5,0.5,0.4,1.0,1.7,5.1,0.0,1.0,0.0,F
